videoId,publishedTime,durationSec,viewCount,likeCount,dislikeCount,commentCount
tTylXchRBMU,08-03-2020 03:32,212,24973462,9700,3464,3889
9T6DqlmIV5c,07-03-2020 05:32,126,7093595,131571,4311,2836
M68ZdMuQNIk,07-03-2020 09:30,154,807185,12643,656,506
Mm61s_GzerM,06-03-2020 12:30,184,1869750,32726,1180,1395
f6hjwNV6DTc,06-03-2020 10:08,198,2034723,21153,1867,1311
tHtXGKklyaw,06-03-2020 06:30,319,162556,2668,239,323
Jnye8mR6ay8,05-03-2020 12:07,181,7144790,71961,9545,3378
SSORa7YdR7s,05-03-2020 11:15,161,1199421,15695,940,752
0oZw0vHpYqc,05-03-2020 07:48,162,338470,7166,619,662
_ybTzGoNRjw,04-03-2020 10:30,133,2082786,38453,1812,1225
mX5WV60DSPk,03-03-2020 12:32,180,1510444,21835,1727,1024
oSpMspvMkSQ,04-03-2020 06:30,183,19055595,209014,8415,9349
njcxsTCSOqQ,13-03-2020 05:31,185,34826589,530285,40516,18267
MiCjwOGxuOU,02-03-2020 12:31,133,2270768,53185,1534,1735
Zw4F2yNpoTg,02-03-2020 12:40,25,1682915,5219,632,454
7FouEfgMLjk,02-03-2020 10:19,181,175353,4164,363,465
MkzaOttzq-Q,02-03-2020 11:14,131,8045715,166286,11493,7443
QeLoW2ySlbc,03-03-2020 05:30,220,109170849,2226338,174382,210408
Ho_PJ7lXz4A,01-03-2020 10:21,403,2063658,36642,1576,1748
noLRGKL-d7U,01-03-2020 12:30,188,934530,19746,1551,1051
fADiXnnX_3o,29-02-2020 13:33,159,227757,2435,614,443
QcoovnTTDjI,29-02-2020 13:24,171,358410,7579,608,605
A3i0pxSAsTk,01-03-2020 06:30,206,193188,4551,376,446
C68hOojkX5M,29-02-2020 11:30,370,622739,10579,849,612
kpIGZGu30ws,29-02-2020 08:14,300,192656,2458,338,269
KPrV5h7S5zU,29-02-2020 07:12,304,290987,4703,403,421
N33qrZIoVKk,29-02-2020 05:49,859,72468,952,304,229
BdfgsWmceWM,28-02-2020 13:15,101,586637,11598,900,662
5dyVUGpBwTY,29-02-2020 07:13,230,98933,1262,263,209
hxAI8RCzMxc,28-02-2020 09:32,23,4813343,231716,8855,20790
ks6OwHSIIbI,28-02-2020 11:30,394,17711282,149780,9177,2805
edZZ_7xrwIc,27-02-2020 12:01,21,216908,3684,615,490
_-iirCDwleQ,27-02-2020 09:32,152,227769,4816,257,240
mOEL8Q-2bSo,27-02-2020 10:30,190,1724947,21358,559,828
PHskP9wglJ8,27-02-2020 07:34,137,35286458,435848,128717,32514
_rI6CKCH6tg,26-02-2020 14:45,45,95942,1934,411,294
wv3ey06h_qk,26-02-2020 13:00,179,1240154,20051,1510,866
iL4RAYScqrQ,26-02-2020 11:48,217,430783,8544,593,538
